Truth?,ID,Smile Intensity,Anger,Contempt,Disgust,Fear,Happiness,Neutral,Sadness,Surprise
0,20190119195421,0.0,0.0,0.002,0.0,0.0,0.0,0.997,0.001,0.0
1,20190119195439,0.001,0.0,0.0,0.0,0.0,0.001,0.999,0.0,0.0
0,20190119195510,0.0,0.0,0.0,0.0,0.0,0.0,0.973,0.027,0.0
0,20190119195616,0.0,0.0,0.001,0.0,0.0,0.0,0.948,0.052,0.0
0,20190119195639,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
0,20190119195709,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,0.0
0,20190119195746,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,20190119195806,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.001,0.0
1,20190119195916,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.009,0.0
0,20190119195936,0.0,0.0,0.0,0.0,0.0,0.0,0.948,0.052,0.0
1,20190119195948,0.0,0.0,0.001,0.0,0.0,0.0,0.997,0.003,0.0
1,20190119195956,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.001,0.0
1,20190119200018,0.003,0.0,0.0,0.0,0.0,0.003,0.996,0.0,0.0
0,20190119200132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,20190119200219,0.0,0.0,0.021,0.0,0.0,0.0,0.926,0.052,0.0
0,20190119200251,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.003,0.0
1,20190119200317,0.0,0.0,0.002,0.0,0.0,0.0,0.988,0.01,0.0
0,20190119200331,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.006,0.0
